Measure	Value	Library
Filename	WUB_TM19_S149_L003_R2_001.fastq.gz	WUB_TM19_S149_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM19_S149_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM19_S149_L003_R2_001_fastqc
Total Sequences	18205271	WUB_TM19_S149_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM19_S149_L003_R2_001_fastqc
Sequence length	151	WUB_TM19_S149_L003_R2_001_fastqc
%GC	65	WUB_TM19_S149_L003_R2_001_fastqc
Filename	WUB_TM20_S150_L003_R1_001.fastq.gz	WUB_TM20_S150_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM20_S150_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM20_S150_L003_R1_001_fastqc
Total Sequences	16444640	WUB_TM20_S150_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM20_S150_L003_R1_001_fastqc
Sequence length	151	WUB_TM20_S150_L003_R1_001_fastqc
%GC	66	WUB_TM20_S150_L003_R1_001_fastqc
Filename	WUB_TM20_S150_L003_R2_001.fastq.gz	WUB_TM20_S150_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM20_S150_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM20_S150_L003_R2_001_fastqc
Total Sequences	16444640	WUB_TM20_S150_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM20_S150_L003_R2_001_fastqc
Sequence length	151	WUB_TM20_S150_L003_R2_001_fastqc
%GC	66	WUB_TM20_S150_L003_R2_001_fastqc
Filename	WUB_TM21_S151_L003_R1_001.fastq.gz	WUB_TM21_S151_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM21_S151_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM21_S151_L003_R1_001_fastqc
Total Sequences	19452077	WUB_TM21_S151_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM21_S151_L003_R1_001_fastqc
Sequence length	151	WUB_TM21_S151_L003_R1_001_fastqc
%GC	65	WUB_TM21_S151_L003_R1_001_fastqc
Filename	WUB_TM21_S151_L003_R2_001.fastq.gz	WUB_TM21_S151_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM21_S151_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM21_S151_L003_R2_001_fastqc
Total Sequences	19452077	WUB_TM21_S151_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM21_S151_L003_R2_001_fastqc
Sequence length	151	WUB_TM21_S151_L003_R2_001_fastqc
%GC	65	WUB_TM21_S151_L003_R2_001_fastqc
Filename	WUB_TM22_S152_L003_R1_001.fastq.gz	WUB_TM22_S152_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM22_S152_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM22_S152_L003_R1_001_fastqc
Total Sequences	16147656	WUB_TM22_S152_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM22_S152_L003_R1_001_fastqc
Sequence length	151	WUB_TM22_S152_L003_R1_001_fastqc
%GC	65	WUB_TM22_S152_L003_R1_001_fastqc
Filename	WUB_TM22_S152_L003_R2_001.fastq.gz	WUB_TM22_S152_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM22_S152_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM22_S152_L003_R2_001_fastqc
Total Sequences	16147656	WUB_TM22_S152_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM22_S152_L003_R2_001_fastqc
Sequence length	151	WUB_TM22_S152_L003_R2_001_fastqc
%GC	65	WUB_TM22_S152_L003_R2_001_fastqc
Filename	WUB_TM23_S153_L003_R1_001.fastq.gz	WUB_TM23_S153_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM23_S153_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM23_S153_L003_R1_001_fastqc
Total Sequences	17523605	WUB_TM23_S153_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM23_S153_L003_R1_001_fastqc
Sequence length	151	WUB_TM23_S153_L003_R1_001_fastqc
%GC	65	WUB_TM23_S153_L003_R1_001_fastqc
Filename	WUB_TM23_S153_L003_R2_001.fastq.gz	WUB_TM23_S153_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM23_S153_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM23_S153_L003_R2_001_fastqc
Total Sequences	17523605	WUB_TM23_S153_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM23_S153_L003_R2_001_fastqc
Sequence length	151	WUB_TM23_S153_L003_R2_001_fastqc
%GC	65	WUB_TM23_S153_L003_R2_001_fastqc
Filename	WUB_TM24_S154_L003_R1_001.fastq.gz	WUB_TM24_S154_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM24_S154_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM24_S154_L003_R1_001_fastqc
Total Sequences	20466970	WUB_TM24_S154_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM24_S154_L003_R1_001_fastqc
Sequence length	151	WUB_TM24_S154_L003_R1_001_fastqc
%GC	65	WUB_TM24_S154_L003_R1_001_fastqc
Filename	WUB_TM24_S154_L003_R2_001.fastq.gz	WUB_TM24_S154_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM24_S154_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM24_S154_L003_R2_001_fastqc
Total Sequences	20466970	WUB_TM24_S154_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM24_S154_L003_R2_001_fastqc
Sequence length	151	WUB_TM24_S154_L003_R2_001_fastqc
%GC	65	WUB_TM24_S154_L003_R2_001_fastqc
Filename	WUB_TM25_S155_L003_R1_001.fastq.gz	WUB_TM25_S155_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM25_S155_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM25_S155_L003_R1_001_fastqc
Total Sequences	15952284	WUB_TM25_S155_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM25_S155_L003_R1_001_fastqc
Sequence length	151	WUB_TM25_S155_L003_R1_001_fastqc
%GC	65	WUB_TM25_S155_L003_R1_001_fastqc
Filename	WUB_TM25_S155_L003_R2_001.fastq.gz	WUB_TM25_S155_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM25_S155_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM25_S155_L003_R2_001_fastqc
Total Sequences	15952284	WUB_TM25_S155_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM25_S155_L003_R2_001_fastqc
Sequence length	151	WUB_TM25_S155_L003_R2_001_fastqc
%GC	65	WUB_TM25_S155_L003_R2_001_fastqc
Filename	WUB_TM26_S156_L003_R1_001.fastq.gz	WUB_TM26_S156_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM26_S156_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM26_S156_L003_R1_001_fastqc
Total Sequences	16151941	WUB_TM26_S156_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM26_S156_L003_R1_001_fastqc
Sequence length	151	WUB_TM26_S156_L003_R1_001_fastqc
%GC	66	WUB_TM26_S156_L003_R1_001_fastqc
Filename	WUB_TM26_S156_L003_R2_001.fastq.gz	WUB_TM26_S156_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM26_S156_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM26_S156_L003_R2_001_fastqc
Total Sequences	16151941	WUB_TM26_S156_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM26_S156_L003_R2_001_fastqc
Sequence length	151	WUB_TM26_S156_L003_R2_001_fastqc
%GC	66	WUB_TM26_S156_L003_R2_001_fastqc
Filename	WUB_TM27_S157_L003_R1_001.fastq.gz	WUB_TM27_S157_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM27_S157_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM27_S157_L003_R1_001_fastqc
Total Sequences	18264105	WUB_TM27_S157_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM27_S157_L003_R1_001_fastqc
Sequence length	151	WUB_TM27_S157_L003_R1_001_fastqc
%GC	65	WUB_TM27_S157_L003_R1_001_fastqc
Filename	WUB_TM27_S157_L003_R2_001.fastq.gz	WUB_TM27_S157_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM27_S157_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM27_S157_L003_R2_001_fastqc
Total Sequences	18264105	WUB_TM27_S157_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM27_S157_L003_R2_001_fastqc
Sequence length	151	WUB_TM27_S157_L003_R2_001_fastqc
%GC	65	WUB_TM27_S157_L003_R2_001_fastqc
Filename	WUB_TM28_S158_L003_R1_001.fastq.gz	WUB_TM28_S158_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM28_S158_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM28_S158_L003_R1_001_fastqc
Total Sequences	17129455	WUB_TM28_S158_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM28_S158_L003_R1_001_fastqc
Sequence length	151	WUB_TM28_S158_L003_R1_001_fastqc
%GC	65	WUB_TM28_S158_L003_R1_001_fastqc
Filename	WUB_TM28_S158_L003_R2_001.fastq.gz	WUB_TM28_S158_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM28_S158_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM28_S158_L003_R2_001_fastqc
Total Sequences	17129455	WUB_TM28_S158_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM28_S158_L003_R2_001_fastqc
Sequence length	151	WUB_TM28_S158_L003_R2_001_fastqc
%GC	65	WUB_TM28_S158_L003_R2_001_fastqc
Filename	WUB_TM29_S159_L003_R1_001.fastq.gz	WUB_TM29_S159_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM29_S159_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM29_S159_L003_R1_001_fastqc
Total Sequences	15070759	WUB_TM29_S159_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM29_S159_L003_R1_001_fastqc
Sequence length	151	WUB_TM29_S159_L003_R1_001_fastqc
%GC	65	WUB_TM29_S159_L003_R1_001_fastqc
Filename	WUB_TM29_S159_L003_R2_001.fastq.gz	WUB_TM29_S159_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM29_S159_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM29_S159_L003_R2_001_fastqc
Total Sequences	15070759	WUB_TM29_S159_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM29_S159_L003_R2_001_fastqc
Sequence length	151	WUB_TM29_S159_L003_R2_001_fastqc
%GC	65	WUB_TM29_S159_L003_R2_001_fastqc
Filename	WUB_TM30_S160_L003_R1_001.fastq.gz	WUB_TM30_S160_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM30_S160_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM30_S160_L003_R1_001_fastqc
Total Sequences	20073148	WUB_TM30_S160_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM30_S160_L003_R1_001_fastqc
Sequence length	151	WUB_TM30_S160_L003_R1_001_fastqc
%GC	65	WUB_TM30_S160_L003_R1_001_fastqc
Filename	WUB_TM30_S160_L003_R2_001.fastq.gz	WUB_TM30_S160_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM30_S160_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM30_S160_L003_R2_001_fastqc
Total Sequences	20073148	WUB_TM30_S160_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM30_S160_L003_R2_001_fastqc
Sequence length	151	WUB_TM30_S160_L003_R2_001_fastqc
%GC	65	WUB_TM30_S160_L003_R2_001_fastqc
Filename	WUB_TM31_S161_L003_R1_001.fastq.gz	WUB_TM31_S161_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM31_S161_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM31_S161_L003_R1_001_fastqc
Total Sequences	17854251	WUB_TM31_S161_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM31_S161_L003_R1_001_fastqc
Sequence length	151	WUB_TM31_S161_L003_R1_001_fastqc
%GC	65	WUB_TM31_S161_L003_R1_001_fastqc
Filename	WUB_TM31_S161_L003_R2_001.fastq.gz	WUB_TM31_S161_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM31_S161_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM31_S161_L003_R2_001_fastqc
Total Sequences	17854251	WUB_TM31_S161_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM31_S161_L003_R2_001_fastqc
Sequence length	151	WUB_TM31_S161_L003_R2_001_fastqc
%GC	65	WUB_TM31_S161_L003_R2_001_fastqc
Filename	WUB_TM32_S162_L003_R1_001.fastq.gz	WUB_TM32_S162_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM32_S162_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM32_S162_L003_R1_001_fastqc
Total Sequences	17117133	WUB_TM32_S162_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM32_S162_L003_R1_001_fastqc
Sequence length	151	WUB_TM32_S162_L003_R1_001_fastqc
%GC	65	WUB_TM32_S162_L003_R1_001_fastqc
Filename	WUB_TM32_S162_L003_R2_001.fastq.gz	WUB_TM32_S162_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM32_S162_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM32_S162_L003_R2_001_fastqc
Total Sequences	17117133	WUB_TM32_S162_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM32_S162_L003_R2_001_fastqc
Sequence length	151	WUB_TM32_S162_L003_R2_001_fastqc
%GC	65	WUB_TM32_S162_L003_R2_001_fastqc
Filename	WUB_TM33_S163_L003_R1_001.fastq.gz	WUB_TM33_S163_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM33_S163_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM33_S163_L003_R1_001_fastqc
Total Sequences	14947300	WUB_TM33_S163_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM33_S163_L003_R1_001_fastqc
Sequence length	151	WUB_TM33_S163_L003_R1_001_fastqc
%GC	65	WUB_TM33_S163_L003_R1_001_fastqc
Filename	WUB_TM33_S163_L003_R2_001.fastq.gz	WUB_TM33_S163_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM33_S163_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM33_S163_L003_R2_001_fastqc
Total Sequences	14947300	WUB_TM33_S163_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM33_S163_L003_R2_001_fastqc
Sequence length	151	WUB_TM33_S163_L003_R2_001_fastqc
%GC	65	WUB_TM33_S163_L003_R2_001_fastqc
Filename	WUB_TM34_S164_L003_R1_001.fastq.gz	WUB_TM34_S164_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM34_S164_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM34_S164_L003_R1_001_fastqc
Total Sequences	16906895	WUB_TM34_S164_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM34_S164_L003_R1_001_fastqc
Sequence length	151	WUB_TM34_S164_L003_R1_001_fastqc
%GC	65	WUB_TM34_S164_L003_R1_001_fastqc
Filename	WUB_TM34_S164_L003_R2_001.fastq.gz	WUB_TM34_S164_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM34_S164_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM34_S164_L003_R2_001_fastqc
Total Sequences	16906895	WUB_TM34_S164_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM34_S164_L003_R2_001_fastqc
Sequence length	151	WUB_TM34_S164_L003_R2_001_fastqc
%GC	65	WUB_TM34_S164_L003_R2_001_fastqc
Filename	WUB_TM35_S165_L003_R1_001.fastq.gz	WUB_TM35_S165_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM35_S165_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM35_S165_L003_R1_001_fastqc
Total Sequences	18847885	WUB_TM35_S165_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM35_S165_L003_R1_001_fastqc
Sequence length	151	WUB_TM35_S165_L003_R1_001_fastqc
%GC	65	WUB_TM35_S165_L003_R1_001_fastqc
Filename	WUB_TM35_S165_L003_R2_001.fastq.gz	WUB_TM35_S165_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM35_S165_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM35_S165_L003_R2_001_fastqc
Total Sequences	18847885	WUB_TM35_S165_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM35_S165_L003_R2_001_fastqc
Sequence length	151	WUB_TM35_S165_L003_R2_001_fastqc
%GC	65	WUB_TM35_S165_L003_R2_001_fastqc
Filename	WUB_TM36_S166_L003_R1_001.fastq.gz	WUB_TM36_S166_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM36_S166_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM36_S166_L003_R1_001_fastqc
Total Sequences	19222325	WUB_TM36_S166_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM36_S166_L003_R1_001_fastqc
Sequence length	151	WUB_TM36_S166_L003_R1_001_fastqc
%GC	65	WUB_TM36_S166_L003_R1_001_fastqc
Filename	WUB_TM36_S166_L003_R2_001.fastq.gz	WUB_TM36_S166_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM36_S166_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM36_S166_L003_R2_001_fastqc
Total Sequences	19222325	WUB_TM36_S166_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM36_S166_L003_R2_001_fastqc
Sequence length	151	WUB_TM36_S166_L003_R2_001_fastqc
%GC	65	WUB_TM36_S166_L003_R2_001_fastqc
Filename	WUB_TM37_S167_L003_R1_001.fastq.gz	WUB_TM37_S167_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM37_S167_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM37_S167_L003_R1_001_fastqc
Total Sequences	16639913	WUB_TM37_S167_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM37_S167_L003_R1_001_fastqc
Sequence length	151	WUB_TM37_S167_L003_R1_001_fastqc
%GC	65	WUB_TM37_S167_L003_R1_001_fastqc
Filename	WUB_TM37_S167_L003_R2_001.fastq.gz	WUB_TM37_S167_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM37_S167_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM37_S167_L003_R2_001_fastqc
Total Sequences	16639913	WUB_TM37_S167_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM37_S167_L003_R2_001_fastqc
Sequence length	151	WUB_TM37_S167_L003_R2_001_fastqc
%GC	65	WUB_TM37_S167_L003_R2_001_fastqc
Filename	WUB_TM38_S168_L003_R1_001.fastq.gz	WUB_TM38_S168_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM38_S168_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM38_S168_L003_R1_001_fastqc
Total Sequences	18781551	WUB_TM38_S168_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM38_S168_L003_R1_001_fastqc
Sequence length	151	WUB_TM38_S168_L003_R1_001_fastqc
%GC	66	WUB_TM38_S168_L003_R1_001_fastqc
Filename	WUB_TM38_S168_L003_R2_001.fastq.gz	WUB_TM38_S168_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM38_S168_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM38_S168_L003_R2_001_fastqc
Total Sequences	18781551	WUB_TM38_S168_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM38_S168_L003_R2_001_fastqc
Sequence length	151	WUB_TM38_S168_L003_R2_001_fastqc
%GC	66	WUB_TM38_S168_L003_R2_001_fastqc
Filename	WUB_TM39_S169_L003_R1_001.fastq.gz	WUB_TM39_S169_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM39_S169_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM39_S169_L003_R1_001_fastqc
Total Sequences	16180309	WUB_TM39_S169_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM39_S169_L003_R1_001_fastqc
Sequence length	151	WUB_TM39_S169_L003_R1_001_fastqc
%GC	65	WUB_TM39_S169_L003_R1_001_fastqc
Filename	WUB_TM39_S169_L003_R2_001.fastq.gz	WUB_TM39_S169_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM39_S169_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM39_S169_L003_R2_001_fastqc
Total Sequences	16180309	WUB_TM39_S169_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM39_S169_L003_R2_001_fastqc
Sequence length	151	WUB_TM39_S169_L003_R2_001_fastqc
%GC	65	WUB_TM39_S169_L003_R2_001_fastqc
Filename	WUB_TM40_S170_L003_R1_001.fastq.gz	WUB_TM40_S170_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM40_S170_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM40_S170_L003_R1_001_fastqc
Total Sequences	27619221	WUB_TM40_S170_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM40_S170_L003_R1_001_fastqc
Sequence length	151	WUB_TM40_S170_L003_R1_001_fastqc
%GC	65	WUB_TM40_S170_L003_R1_001_fastqc
Filename	WUB_TM40_S170_L003_R2_001.fastq.gz	WUB_TM40_S170_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM40_S170_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM40_S170_L003_R2_001_fastqc
Total Sequences	27619221	WUB_TM40_S170_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM40_S170_L003_R2_001_fastqc
Sequence length	151	WUB_TM40_S170_L003_R2_001_fastqc
%GC	65	WUB_TM40_S170_L003_R2_001_fastqc
Filename	WUB_TM41_S171_L003_R1_001.fastq.gz	WUB_TM41_S171_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM41_S171_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM41_S171_L003_R1_001_fastqc
Total Sequences	19302325	WUB_TM41_S171_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM41_S171_L003_R1_001_fastqc
Sequence length	151	WUB_TM41_S171_L003_R1_001_fastqc
%GC	65	WUB_TM41_S171_L003_R1_001_fastqc
Filename	WUB_TM41_S171_L003_R2_001.fastq.gz	WUB_TM41_S171_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM41_S171_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM41_S171_L003_R2_001_fastqc
Total Sequences	19302325	WUB_TM41_S171_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM41_S171_L003_R2_001_fastqc
Sequence length	151	WUB_TM41_S171_L003_R2_001_fastqc
%GC	65	WUB_TM41_S171_L003_R2_001_fastqc
Filename	WUB_TM42_S172_L003_R1_001.fastq.gz	WUB_TM42_S172_L003_R1_001_fastqc
File type	Conventional base calls	WUB_TM42_S172_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM42_S172_L003_R1_001_fastqc
Total Sequences	19688846	WUB_TM42_S172_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_TM42_S172_L003_R1_001_fastqc
Sequence length	151	WUB_TM42_S172_L003_R1_001_fastqc
%GC	65	WUB_TM42_S172_L003_R1_001_fastqc
Filename	WUB_TM42_S172_L003_R2_001.fastq.gz	WUB_TM42_S172_L003_R2_001_fastqc
File type	Conventional base calls	WUB_TM42_S172_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM42_S172_L003_R2_001_fastqc
Total Sequences	19688846	WUB_TM42_S172_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_TM42_S172_L003_R2_001_fastqc
Sequence length	151	WUB_TM42_S172_L003_R2_001_fastqc
%GC	65	WUB_TM42_S172_L003_R2_001_fastqc
Filename	WUB_VD01_S233_L003_R1_001.fastq.gz	WUB_VD01_S233_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD01_S233_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD01_S233_L003_R1_001_fastqc
Total Sequences	9020055	WUB_VD01_S233_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD01_S233_L003_R1_001_fastqc
Sequence length	151	WUB_VD01_S233_L003_R1_001_fastqc
%GC	64	WUB_VD01_S233_L003_R1_001_fastqc
Filename	WUB_VD01_S233_L003_R2_001.fastq.gz	WUB_VD01_S233_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD01_S233_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD01_S233_L003_R2_001_fastqc
Total Sequences	9020055	WUB_VD01_S233_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD01_S233_L003_R2_001_fastqc
Sequence length	151	WUB_VD01_S233_L003_R2_001_fastqc
%GC	62	WUB_VD01_S233_L003_R2_001_fastqc
Filename	WUB_VD02_S234_L003_R1_001.fastq.gz	WUB_VD02_S234_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD02_S234_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD02_S234_L003_R1_001_fastqc
Total Sequences	7963196	WUB_VD02_S234_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD02_S234_L003_R1_001_fastqc
Sequence length	151	WUB_VD02_S234_L003_R1_001_fastqc
%GC	62	WUB_VD02_S234_L003_R1_001_fastqc
Filename	WUB_VD02_S234_L003_R2_001.fastq.gz	WUB_VD02_S234_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD02_S234_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD02_S234_L003_R2_001_fastqc
Total Sequences	7963196	WUB_VD02_S234_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD02_S234_L003_R2_001_fastqc
Sequence length	151	WUB_VD02_S234_L003_R2_001_fastqc
%GC	62	WUB_VD02_S234_L003_R2_001_fastqc
Filename	WUB_VD03_S235_L003_R1_001.fastq.gz	WUB_VD03_S235_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD03_S235_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD03_S235_L003_R1_001_fastqc
Total Sequences	8733909	WUB_VD03_S235_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD03_S235_L003_R1_001_fastqc
Sequence length	151	WUB_VD03_S235_L003_R1_001_fastqc
%GC	62	WUB_VD03_S235_L003_R1_001_fastqc
Filename	WUB_VD03_S235_L003_R2_001.fastq.gz	WUB_VD03_S235_L003_R2_001_fastqc
