Measure	Value	Library
Filename	WUB_TM22_R1_rmphix.fq.gz	WUB_TM22_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM22_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM22_R1_rmphix_fastqc
Total Sequences	67071622	WUB_TM22_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM22_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM22_R1_rmphix_fastqc
%GC	65	WUB_TM22_R1_rmphix_fastqc
Filename	WUB_TM22_R2_rmphix.fq.gz	WUB_TM22_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM22_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM22_R2_rmphix_fastqc
Total Sequences	67071622	WUB_TM22_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM22_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM22_R2_rmphix_fastqc
%GC	65	WUB_TM22_R2_rmphix_fastqc
Filename	WUB_TM23_R1_rmphix.fq.gz	WUB_TM23_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM23_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM23_R1_rmphix_fastqc
Total Sequences	76195364	WUB_TM23_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM23_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM23_R1_rmphix_fastqc
%GC	65	WUB_TM23_R1_rmphix_fastqc
Filename	WUB_TM23_R2_rmphix.fq.gz	WUB_TM23_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM23_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM23_R2_rmphix_fastqc
Total Sequences	76195364	WUB_TM23_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM23_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM23_R2_rmphix_fastqc
%GC	65	WUB_TM23_R2_rmphix_fastqc
Filename	WUB_TM24_R1_rmphix.fq.gz	WUB_TM24_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM24_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM24_R1_rmphix_fastqc
Total Sequences	61275710	WUB_TM24_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM24_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM24_R1_rmphix_fastqc
%GC	65	WUB_TM24_R1_rmphix_fastqc
Filename	WUB_TM24_R2_rmphix.fq.gz	WUB_TM24_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM24_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM24_R2_rmphix_fastqc
Total Sequences	61275710	WUB_TM24_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM24_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM24_R2_rmphix_fastqc
%GC	65	WUB_TM24_R2_rmphix_fastqc
Filename	WUB_TM25_R1_rmphix.fq.gz	WUB_TM25_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM25_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM25_R1_rmphix_fastqc
Total Sequences	69541514	WUB_TM25_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM25_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM25_R1_rmphix_fastqc
%GC	65	WUB_TM25_R1_rmphix_fastqc
Filename	WUB_TM25_R2_rmphix.fq.gz	WUB_TM25_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM25_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM25_R2_rmphix_fastqc
Total Sequences	69541514	WUB_TM25_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM25_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM25_R2_rmphix_fastqc
%GC	66	WUB_TM25_R2_rmphix_fastqc
Filename	WUB_TM26_R1_rmphix.fq.gz	WUB_TM26_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM26_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM26_R1_rmphix_fastqc
Total Sequences	66291709	WUB_TM26_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM26_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM26_R1_rmphix_fastqc
%GC	66	WUB_TM26_R1_rmphix_fastqc
Filename	WUB_TM26_R2_rmphix.fq.gz	WUB_TM26_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM26_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM26_R2_rmphix_fastqc
Total Sequences	66291709	WUB_TM26_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM26_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM26_R2_rmphix_fastqc
%GC	66	WUB_TM26_R2_rmphix_fastqc
Filename	WUB_TM27_R1_rmphix.fq.gz	WUB_TM27_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM27_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM27_R1_rmphix_fastqc
Total Sequences	68649597	WUB_TM27_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM27_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM27_R1_rmphix_fastqc
%GC	65	WUB_TM27_R1_rmphix_fastqc
Filename	WUB_TM27_R2_rmphix.fq.gz	WUB_TM27_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM27_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM27_R2_rmphix_fastqc
Total Sequences	68649597	WUB_TM27_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM27_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM27_R2_rmphix_fastqc
%GC	65	WUB_TM27_R2_rmphix_fastqc
Filename	WUB_TM28_R1_rmphix.fq.gz	WUB_TM28_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM28_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM28_R1_rmphix_fastqc
Total Sequences	78473589	WUB_TM28_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM28_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM28_R1_rmphix_fastqc
%GC	65	WUB_TM28_R1_rmphix_fastqc
Filename	WUB_TM28_R2_rmphix.fq.gz	WUB_TM28_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM28_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM28_R2_rmphix_fastqc
Total Sequences	78473589	WUB_TM28_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM28_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM28_R2_rmphix_fastqc
%GC	65	WUB_TM28_R2_rmphix_fastqc
Filename	WUB_TM29_R1_rmphix.fq.gz	WUB_TM29_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM29_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM29_R1_rmphix_fastqc
Total Sequences	69981589	WUB_TM29_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM29_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM29_R1_rmphix_fastqc
%GC	65	WUB_TM29_R1_rmphix_fastqc
Filename	WUB_TM29_R2_rmphix.fq.gz	WUB_TM29_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM29_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM29_R2_rmphix_fastqc
Total Sequences	69981589	WUB_TM29_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM29_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM29_R2_rmphix_fastqc
%GC	65	WUB_TM29_R2_rmphix_fastqc
Filename	WUB_TM30_R1_rmphix.fq.gz	WUB_TM30_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM30_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM30_R1_rmphix_fastqc
Total Sequences	62286666	WUB_TM30_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM30_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM30_R1_rmphix_fastqc
%GC	65	WUB_TM30_R1_rmphix_fastqc
Filename	WUB_TM30_R2_rmphix.fq.gz	WUB_TM30_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM30_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM30_R2_rmphix_fastqc
Total Sequences	62286666	WUB_TM30_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM30_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM30_R2_rmphix_fastqc
%GC	65	WUB_TM30_R2_rmphix_fastqc
Filename	WUB_TM31_R1_rmphix.fq.gz	WUB_TM31_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM31_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM31_R1_rmphix_fastqc
Total Sequences	72198547	WUB_TM31_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM31_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM31_R1_rmphix_fastqc
%GC	66	WUB_TM31_R1_rmphix_fastqc
Filename	WUB_TM31_R2_rmphix.fq.gz	WUB_TM31_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM31_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM31_R2_rmphix_fastqc
Total Sequences	72198547	WUB_TM31_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM31_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM31_R2_rmphix_fastqc
%GC	66	WUB_TM31_R2_rmphix_fastqc
Filename	WUB_TM32_R1_rmphix.fq.gz	WUB_TM32_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM32_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM32_R1_rmphix_fastqc
Total Sequences	81928809	WUB_TM32_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM32_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM32_R1_rmphix_fastqc
%GC	66	WUB_TM32_R1_rmphix_fastqc
Filename	WUB_TM32_R2_rmphix.fq.gz	WUB_TM32_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM32_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM32_R2_rmphix_fastqc
Total Sequences	81928809	WUB_TM32_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM32_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM32_R2_rmphix_fastqc
%GC	66	WUB_TM32_R2_rmphix_fastqc
Filename	WUB_TM33_R1_rmphix.fq.gz	WUB_TM33_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM33_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM33_R1_rmphix_fastqc
Total Sequences	69922343	WUB_TM33_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM33_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM33_R1_rmphix_fastqc
%GC	65	WUB_TM33_R1_rmphix_fastqc
Filename	WUB_TM33_R2_rmphix.fq.gz	WUB_TM33_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM33_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM33_R2_rmphix_fastqc
Total Sequences	69922343	WUB_TM33_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM33_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM33_R2_rmphix_fastqc
%GC	65	WUB_TM33_R2_rmphix_fastqc
Filename	WUB_TM34_R1_rmphix.fq.gz	WUB_TM34_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM34_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM34_R1_rmphix_fastqc
Total Sequences	92071615	WUB_TM34_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM34_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM34_R1_rmphix_fastqc
%GC	66	WUB_TM34_R1_rmphix_fastqc
Filename	WUB_TM34_R2_rmphix.fq.gz	WUB_TM34_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM34_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM34_R2_rmphix_fastqc
Total Sequences	92071615	WUB_TM34_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM34_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM34_R2_rmphix_fastqc
%GC	66	WUB_TM34_R2_rmphix_fastqc
Filename	WUB_TM35_R1_rmphix.fq.gz	WUB_TM35_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM35_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM35_R1_rmphix_fastqc
Total Sequences	59923346	WUB_TM35_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM35_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM35_R1_rmphix_fastqc
%GC	65	WUB_TM35_R1_rmphix_fastqc
Filename	WUB_TM35_R2_rmphix.fq.gz	WUB_TM35_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM35_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM35_R2_rmphix_fastqc
Total Sequences	59923346	WUB_TM35_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM35_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM35_R2_rmphix_fastqc
%GC	65	WUB_TM35_R2_rmphix_fastqc
Filename	WUB_TM36_R1_rmphix.fq.gz	WUB_TM36_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM36_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM36_R1_rmphix_fastqc
Total Sequences	58464693	WUB_TM36_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM36_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM36_R1_rmphix_fastqc
%GC	65	WUB_TM36_R1_rmphix_fastqc
Filename	WUB_TM36_R2_rmphix.fq.gz	WUB_TM36_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM36_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM36_R2_rmphix_fastqc
Total Sequences	58464693	WUB_TM36_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM36_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM36_R2_rmphix_fastqc
%GC	65	WUB_TM36_R2_rmphix_fastqc
Filename	WUB_TM37_R1_rmphix.fq.gz	WUB_TM37_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM37_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM37_R1_rmphix_fastqc
Total Sequences	89670391	WUB_TM37_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM37_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM37_R1_rmphix_fastqc
%GC	66	WUB_TM37_R1_rmphix_fastqc
Filename	WUB_TM37_R2_rmphix.fq.gz	WUB_TM37_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM37_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM37_R2_rmphix_fastqc
Total Sequences	89670391	WUB_TM37_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM37_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM37_R2_rmphix_fastqc
%GC	66	WUB_TM37_R2_rmphix_fastqc
Filename	WUB_TM38_R1_rmphix.fq.gz	WUB_TM38_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM38_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM38_R1_rmphix_fastqc
Total Sequences	62110204	WUB_TM38_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM38_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM38_R1_rmphix_fastqc
%GC	66	WUB_TM38_R1_rmphix_fastqc
Filename	WUB_TM38_R2_rmphix.fq.gz	WUB_TM38_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM38_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM38_R2_rmphix_fastqc
Total Sequences	62110204	WUB_TM38_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM38_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM38_R2_rmphix_fastqc
%GC	66	WUB_TM38_R2_rmphix_fastqc
Filename	WUB_TM39_R1_rmphix.fq.gz	WUB_TM39_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM39_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM39_R1_rmphix_fastqc
Total Sequences	102416707	WUB_TM39_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM39_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM39_R1_rmphix_fastqc
%GC	65	WUB_TM39_R1_rmphix_fastqc
Filename	WUB_TM39_R2_rmphix.fq.gz	WUB_TM39_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM39_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM39_R2_rmphix_fastqc
Total Sequences	102416707	WUB_TM39_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM39_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM39_R2_rmphix_fastqc
%GC	65	WUB_TM39_R2_rmphix_fastqc
Filename	WUB_TM40_R1_rmphix.fq.gz	WUB_TM40_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM40_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM40_R1_rmphix_fastqc
Total Sequences	54998196	WUB_TM40_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM40_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM40_R1_rmphix_fastqc
%GC	65	WUB_TM40_R1_rmphix_fastqc
Filename	WUB_TM40_R2_rmphix.fq.gz	WUB_TM40_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM40_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM40_R2_rmphix_fastqc
Total Sequences	54998196	WUB_TM40_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM40_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM40_R2_rmphix_fastqc
%GC	65	WUB_TM40_R2_rmphix_fastqc
Filename	WUB_TM41_R1_rmphix.fq.gz	WUB_TM41_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM41_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM41_R1_rmphix_fastqc
Total Sequences	59996017	WUB_TM41_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM41_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM41_R1_rmphix_fastqc
%GC	65	WUB_TM41_R1_rmphix_fastqc
Filename	WUB_TM41_R2_rmphix.fq.gz	WUB_TM41_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM41_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM41_R2_rmphix_fastqc
Total Sequences	59996017	WUB_TM41_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM41_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM41_R2_rmphix_fastqc
%GC	65	WUB_TM41_R2_rmphix_fastqc
Filename	WUB_TM42_R1_rmphix.fq.gz	WUB_TM42_R1_rmphix_fastqc
File type	Conventional base calls	WUB_TM42_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM42_R1_rmphix_fastqc
Total Sequences	63312424	WUB_TM42_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM42_R1_rmphix_fastqc
Sequence length	50-151	WUB_TM42_R1_rmphix_fastqc
%GC	65	WUB_TM42_R1_rmphix_fastqc
Filename	WUB_TM42_R2_rmphix.fq.gz	WUB_TM42_R2_rmphix_fastqc
File type	Conventional base calls	WUB_TM42_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_TM42_R2_rmphix_fastqc
Total Sequences	63312424	WUB_TM42_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_TM42_R2_rmphix_fastqc
Sequence length	50-151	WUB_TM42_R2_rmphix_fastqc
%GC	65	WUB_TM42_R2_rmphix_fastqc
Filename	WUB_VD01_R1_rmphix.fq.gz	WUB_VD01_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD01_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD01_R1_rmphix_fastqc
Total Sequences	13556035	WUB_VD01_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD01_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD01_R1_rmphix_fastqc
%GC	62	WUB_VD01_R1_rmphix_fastqc
Filename	WUB_VD01_R2_rmphix.fq.gz	WUB_VD01_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD01_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD01_R2_rmphix_fastqc
Total Sequences	13556035	WUB_VD01_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD01_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD01_R2_rmphix_fastqc
%GC	63	WUB_VD01_R2_rmphix_fastqc
Filename	WUB_VD02_R1_rmphix.fq.gz	WUB_VD02_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD02_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD02_R1_rmphix_fastqc
Total Sequences	49198506	WUB_VD02_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD02_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD02_R1_rmphix_fastqc
%GC	63	WUB_VD02_R1_rmphix_fastqc
Filename	WUB_VD02_R2_rmphix.fq.gz	WUB_VD02_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD02_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD02_R2_rmphix_fastqc
Total Sequences	49198506	WUB_VD02_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD02_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD02_R2_rmphix_fastqc
%GC	63	WUB_VD02_R2_rmphix_fastqc
Filename	WUB_VD03_R1_rmphix.fq.gz	WUB_VD03_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD03_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD03_R1_rmphix_fastqc
Total Sequences	32518672	WUB_VD03_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD03_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD03_R1_rmphix_fastqc
%GC	62	WUB_VD03_R1_rmphix_fastqc
Filename	WUB_VD03_R2_rmphix.fq.gz	WUB_VD03_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD03_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD03_R2_rmphix_fastqc
Total Sequences	32518672	WUB_VD03_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD03_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD03_R2_rmphix_fastqc
%GC	63	WUB_VD03_R2_rmphix_fastqc
Filename	WUB_VD04_R1_rmphix.fq.gz	WUB_VD04_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD04_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD04_R1_rmphix_fastqc
Total Sequences	26983274	WUB_VD04_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD04_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD04_R1_rmphix_fastqc
%GC	63	WUB_VD04_R1_rmphix_fastqc
Filename	WUB_VD04_R2_rmphix.fq.gz	WUB_VD04_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD04_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD04_R2_rmphix_fastqc
Total Sequences	26983274	WUB_VD04_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD04_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD04_R2_rmphix_fastqc
%GC	63	WUB_VD04_R2_rmphix_fastqc
Filename	WUB_VD05_R1_rmphix.fq.gz	WUB_VD05_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD05_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD05_R1_rmphix_fastqc
Total Sequences	26509486	WUB_VD05_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD05_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD05_R1_rmphix_fastqc
%GC	64	WUB_VD05_R1_rmphix_fastqc
Filename	WUB_VD05_R2_rmphix.fq.gz	WUB_VD05_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD05_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD05_R2_rmphix_fastqc
Total Sequences	26509486	WUB_VD05_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD05_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD05_R2_rmphix_fastqc
%GC	64	WUB_VD05_R2_rmphix_fastqc
Filename	WUB_VD06_R1_rmphix.fq.gz	WUB_VD06_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD06_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD06_R1_rmphix_fastqc
Total Sequences	26776019	WUB_VD06_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD06_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD06_R1_rmphix_fastqc
%GC	63	WUB_VD06_R1_rmphix_fastqc
Filename	WUB_VD06_R2_rmphix.fq.gz	WUB_VD06_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD06_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD06_R2_rmphix_fastqc
Total Sequences	26776019	WUB_VD06_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD06_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD06_R2_rmphix_fastqc
%GC	64	WUB_VD06_R2_rmphix_fastqc
Filename	WUB_VD07_R1_rmphix.fq.gz	WUB_VD07_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD07_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD07_R1_rmphix_fastqc
Total Sequences	27238792	WUB_VD07_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD07_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD07_R1_rmphix_fastqc
%GC	62	WUB_VD07_R1_rmphix_fastqc
Filename	WUB_VD07_R2_rmphix.fq.gz	WUB_VD07_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD07_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD07_R2_rmphix_fastqc
Total Sequences	27238792	WUB_VD07_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD07_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD07_R2_rmphix_fastqc
%GC	62	WUB_VD07_R2_rmphix_fastqc
Filename	WUB_VD08_R1_rmphix.fq.gz	WUB_VD08_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD08_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD08_R1_rmphix_fastqc
Total Sequences	24308345	WUB_VD08_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD08_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD08_R1_rmphix_fastqc
%GC	62	WUB_VD08_R1_rmphix_fastqc
